Started FTP process at 2/9/2018 10:43:34 AM
Connected to 10.160.4.6 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_0800.dat - length 39086
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_0900.dat - length 38553
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1000.dat - length 40069
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1100.dat - length 42436
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1200.dat - length 41651
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1300.dat - length 42543
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1400.dat - length 40779
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1500.dat - length 48458
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1600.dat - length 45280
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1700.dat - length 47697
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1800.dat - length 43933
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_1900.dat - length 38654
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_2000.dat - length 30952
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_2100.dat - length 25276
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_2200.dat - length 20993
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.16_2018_02_08_2300.dat - length 16296
Finished with FTP process.
Connected to 10.160.4.21 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0000.dat - length 5978
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0100.dat - length 3550
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0200.dat - length 3208
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0300.dat - length 5232
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0400.dat - length 11372
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0500.dat - length 25208
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0600.dat - length 38965
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0700.dat - length 43790
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0800.dat - length 40570
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_0900.dat - length 38451
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1000.dat - length 38263
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1100.dat - length 43644
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1200.dat - length 42256
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1300.dat - length 44415
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1400.dat - length 44694
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1500.dat - length 49556
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1600.dat - length 50147
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1700.dat - length 52148
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1800.dat - length 43560
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_1900.dat - length 36423
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_2000.dat - length 28045
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_2100.dat - length 21924
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_2200.dat - length 17934
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.21_2018_02_08_2300.dat - length 14626
Finished with FTP process.
Connected to 10.160.4.26 on attempt 1
Remote directory set to /mnt/sd
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0000.dat - length 9238
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0100.dat - length 5579
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0200.dat - length 4282
Transferred D:\hg\SignalMetricsFTP\data\SIEM_10.160.4.26_2018_02_08_0300.dat - length 6509
